Bucket,start-x,start-y,goal-x,goal-y,dist,time(ms),optimal
108,128,408,489,341,437.45,173.6,434.03
104,106,436,467,325,421.02,155.8,416.19
107,422,344,64,381,431.76,205.6,428.69
51,413,168,489,327,206.22,44.4,207.05
26,120,506,51,435,104.85,20.6,104.27
91,141,384,432,334,368.83,73.4,364.59
28,84,426,184,395,112.84,40.2,112.84
31,81,412,196,434,124.11,19.4,124.11
117,399,399,241,141,483.09,216.6,469.57
21,335,169,266,152,91.64,16.4,84.91
36,26,430,170,433,145.24,16.2,145.24
65,467,378,344,215,264.69,93.8,261.76
75,435,239,451,429,310.63,109.8,301.61
34,384,405,474,317,146.27,34.8,139.24
59,58,397,265,475,239.31,58.6,239.31
12,61,442,102,424,48.46,15.4,48.46
101,158,373,484,326,410.53,100.4,405.11
71,160,440,434,421,293.23,63.8,286.01
126,283,85,323,409,514.0,234.4,507.31
10,72,447,92,415,48.49,16.6,40.28
16,489,346,443,353,68.01,29.0,65.33
28,192,432,98,387,112.64,9.0,112.64
29,53,474,160,448,117.77,13.0,117.77
67,244,198,415,109,276.89,96.2,269.38
79,79,452,381,412,318.57,93.6,318.57
17,381,352,360,413,70.28,24.6,69.7
11,482,310,460,274,50.97,9.4,47.46
72,283,465,425,320,295.58,114.6,290.65
15,245,461,194,430,63.84,7.2,63.84
9,306,435,333,409,37.77,14.0,37.77
40,318,188,271,73,163.04,29.6,161.04
32,196,403,302,451,128.81,21.4,128.23
107,377,415,311,108,439.6,166.8,431.16
61,185,418,385,364,250.74,30.8,247.66
65,65,377,285,474,260.76,82.2,260.18
90,377,376,48,451,365.38,64.4,361.48
11,139,402,116,436,47.43,15.8,44.11
68,419,153,480,381,277.05,79.6,275.63
44,220,127,268,77,188.55,31.6,176.41
68,420,215,196,101,280.78,100.8,273.71
22,453,243,484,322,93.01,20.6,91.84
10,148,471,185,463,41.14,12.2,40.31
102,319,103,384,388,416.01,184.2,410.74
53,499,325,442,393,0.0,357.8,212.82
85,416,370,120,484,344.39,60.6,343.22
17,75,354,75,422,68.0,13.4,68.0
14,100,470,51,452,58.21,21.0,56.46
126,354,180,212,444,516.06,318.0,506.88
24,180,447,272,461,97.8,16.2,97.8
43,431,242,315,132,172.25,43.6,172.49
